record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
149,3.162277617541065e-08,17.111611928835455,2.2019533967845158e-16,3.4673442233952666e-10,True,True
150,3.162277617541065e-08,9.902967915111272,7.568750883256655e-16,8.50013340388946e-08,True,True
151,3.162277617541065e-08,12.493376146751565,7.951065577410347e-16,4.4672739033534205e-08,True,True
152,3.162277617541065e-08,16.810723199485388,2.277908764392045e-16,3.377684893585468e-10,True,True
153,3.162277617541065e-08,9.907976270734508,6.941911458781822e-16,8.50282656401874e-08,True,True
154,3.162277617541065e-08,12.498384502374801,6.635586301661202e-16,4.4671949632511396e-08,True,True
155,3.162277617541065e-08,16.815731555108623,2.0066626403601912e-16,3.3741702717978314e-10,True,True
156,3.162277617541065e-08,9.907976270734508,6.941911458781822e-16,8.50282656401874e-08,True,True
157,3.162277617541065e-08,12.498384502374801,6.635586301661202e-16,4.4671949632511396e-08,True,True
158,3.162277617541065e-08,16.815731555108623,2.0066626403601912e-16,3.3741702717978314e-10,True,True
159,3.162277617541065e-08,9.907976270734508,6.941911458781822e-16,8.50282656401874e-08,True,True
160,3.162277617541065e-08,12.498384502374801,6.635586301661202e-16,4.4671949632511396e-08,True,True
161,3.162277617541065e-08,16.815731555108623,2.0066626403601912e-16,3.3741702717978314e-10,True,True
162,3.162277617541065e-08,9.907976270734508,6.941911458781822e-16,8.502826585593055e-08,True,True
163,3.162277617541065e-08,12.498384502374801,6.635586301661202e-16,4.4671949632511396e-08,True,True
164,3.162277617541065e-08,16.815731555108623,2.0066626403601912e-16,3.3741702717978314e-10,True,True
165,3.162277617541065e-08,9.563319291544719,8.808320400828621e-16,8.315655412273743e-08,True,True
166,3.162277617541065e-08,12.153727523185012,7.629343418564989e-16,4.4731058099546936e-08,True,True
167,3.162277617541065e-08,16.47107457591883,2.2709915435507647e-16,3.2729745869446503e-10,True,True
168,3.162277617541065e-08,9.568327647167953,9.145537551282033e-16,8.318389110967986e-08,True,True
169,3.162277617541065e-08,12.158735878808246,9.776046011264128e-16,4.473016520452126e-08,True,True
170,3.162277617541065e-08,16.476082931542066,2.105312722629521e-16,3.2687008652672746e-10,True,True
171,3.162277617541065e-08,9.568327647167953,9.145537551282033e-16,8.318389110967986e-08,True,True
172,3.162277617541065e-08,12.158735878808246,9.776046011264128e-16,4.473016520452126e-08,True,True
173,3.162277617541065e-08,16.476082931542066,2.105312722629521e-16,3.2687008652672746e-10,True,True
174,3.162277617541065e-08,9.568327647167953,9.145537551282033e-16,8.318389114376169e-08,True,True
175,3.162277617541065e-08,12.158735878808246,9.776046011264128e-16,4.473016508333005e-08,True,True
176,3.162277617541065e-08,16.476082931542066,2.105312722629521e-16,3.2687008652672746e-10,True,True
177,3.162277617541065e-08,9.568327647167953,9.145537551282033e-16,8.318389114376169e-08,True,True
178,3.162277617541065e-08,12.158735878808246,9.776046011264128e-16,4.473016508333005e-08,True,True
179,3.162277617541065e-08,16.476082931542066,2.105312722629521e-16,3.2687008652672746e-10,True,True
180,1.0000000005838672e-07,9.497820211738011,6.804116138922492e-16,8.005867168168151e-08,True,True
181,1.0000000005838672e-07,11.91553455929418,7.755568225180181e-16,4.159814823752055e-08,True,True
182,1.0000000005838672e-07,15.945058471887792,7.577139869855711e-16,1.7143303599257162e-10,True,True
183,1.0000000005838672e-07,9.502828567361247,6.22023727013879e-16,8.008334160566236e-08,True,True
184,1.0000000005838672e-07,11.920542914917414,9.313229938515776e-16,4.159790297806688e-08,True,True
185,1.0000000005838672e-07,15.950066827511028,2.7862640580161857e-16,1.7363038488497346e-10,True,True
186,1.0000000005838672e-07,9.502828567361247,6.22023727013879e-16,8.008334160566236e-08,True,True
187,1.0000000005838672e-07,11.920542914917414,9.313229938515776e-16,4.159790297806688e-08,True,True
188,1.0000000005838672e-07,15.950066827511028,2.7862640580161857e-16,1.7363038488497346e-10,True,True
189,1.0000000005838672e-07,9.502828567361247,6.22023727013879e-16,8.008334160566236e-08,True,True
190,1.0000000005838672e-07,11.920542914917414,9.313229938515776e-16,4.159790297806688e-08,True,True
191,1.0000000005838672e-07,15.950066827511028,2.7862640580161857e-16,1.7363038488497346e-10,True,True
192,1.0000000005838672e-07,9.502828567361247,6.22023727013879e-16,8.008334160566236e-08,True,True
